Year;Parameter;Unit;AVERAGE;MAX;MIN;STDEV;MEDIAN
2015;pH;pH;77400,00;77400,00;77400,00;;7,74
2018;Potassium;mg/l;71300,00;75600,00;67000,00;0.6081;7,13
2019;Potassium;mg/l;41000,00;53200,00;28800,00;17253,00;4,10
2020;Potassium;mg/l;19967,00;23000,00;17100,00;0.2954;1,98
2018;Sodium;mg/l;1420000,00;1540000,00;1300000,00;169706,00;142,00
2019;Sodium;mg/l;733500,00;874000,00;593000,00;198697,00;73,35
2020;Sodium;mg/l;581333,00;612000,00;547000,00;32655,00;58,50
2018;Sulphate;mg/l;593000,00;636000,00;550000,00;60811,00;59,30
2019;Sulphate;mg/l;599500,00;737000,00;462000,00;194454,00;59,95
2020;Sulphate;mg/l;370333,00;414000,00;337000,00;39526,00;36,00
2013;Sulphate;mg/l;416000,00;417000,00;415000,00;0.1414;41,60
2014;Sulphate;mg/l;670000,00;810000,00;530000,00;197990,00;67,00
2015;Sulphate;mg/l;183673,00;183673,00;183673,00;;18,37
2018;Temperature (water);°C;215000,00;222000,00;208000,00;0.9899;21,50
2019;Temperature (water);°C;203000,00;203000,00;203000,00;;20,30
2020;Temperature (water);°C;215000,00;217000,00;212000,00;0.2646;21,60
2013;Temperature (water);°C;198000,00;211000,00;185000,00;18385,00;19,80
2014;Temperature (water);°C;225000,00;240000,00;210000,00;21213,00;22,50
2015;Temperature (water);°C;200000,00;200000,00;200000,00;;20,00
2018;Total phosphates;mg/l;0,03;0.0060;0.0000;0.0042;0,00
2019;Total phosphates;mg/l;0,05;0.0710;0.0000;0.0502;0,04
2020;Total phosphates;mg/l;0,03;0.0500;0.0000;0.0273;0,01
2013;Zinc dissolved;μg/l;100000,00;100000,00;100000,00;;10,00
2014;Zinc dissolved;μg/l;25000,00;50000,00;50000,00;;5,00
